Item Name,CatalogNumber,SMILES,Rack Number,Plate Location
Malotilate,S1137,CC(C)OC(=O)C(C(=O)OC(C)C)=C1SC=CS1,L1300-01,h3
Valproic acid sodium salt (Sodium valproate),S1168,CCCC(CCC)C(=O)[O-].[Na+],L1300-01,f4
Anastrozole,S1188,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,L1300-01,a5
Bicalutamide (Casodex),S1190,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,L1300-01,c5
Thalidomide,S1193,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,L1300-01,e5
Exemestane,S1196,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,L1300-01,f5
Finasteride,S1197,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,L1300-01,g5
Melatonin,S1204,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,L1300-01,d6
Adrucil (Fluorouracil),S1209,O=c1[nH]cc(F)c(=O)[nH]1,L1300-01,g6
2-Methoxyestradiol,S1233,COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,L1300-01,f8
Letrozole,S1235,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,L1300-01,g8
Agomelatine,S1243,COc1ccc2cccc(CCNC(C)=O)c2c1,L1300-01,b9
Leflunomide,S1247,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,L1300-01,c9
Dienogest,S1251,C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)CC#N,L1300-01,e9
Rufinamide (Banzel),S1256,NC(=O)c1cn(Cc2c(F)cccc2F)nn1,L1300-01,h9
Prasugrel (Effient),S1258,CC(=O)Oc1cc2c(s1)CCN(C(C(=O)C1CC1)c1ccccc1F)C2,L1300-01,b10
Ramelteon (TAK-375),S1259,CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,L1300-01,c10
Celecoxib,S1261,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,L1300-01,e10
Altretamine (Hexalen),S1278,CN(C)c1nc(N(C)C)nc(N(C)C)n1,L1300-01,a11
Aniracetam,S1281,COc1ccc(C(=O)N2CCCC2=O)cc1,L1300-01,c11
Artemisinin,S1282,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,L1300-01,d11
Asenapine,S1283,CN1C[C@@H]2c3ccccc3Oc3ccc(Cl)cc3[C@H]2C1.O=C(O)/C=C\C(=O)O,L1300-01,e11
Budesonide,S1286,CCC[C@@H]1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,L1300-01,g11
Camptothecin,S1288,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,L1300-02,a1
Carmofur,S1289,CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O,L1300-02,b1
Ftorafur,S1300,O=c1[nH]c(=O)n([C@H]2CCCO2)cc1F,L1300-02,g1
Ifosfamide,S1302,O=P1(NCCCl)OCCCN1CCCl,L1300-02,h1
Megestrol Acetate,S1304,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,L1300-02,a2
Mercaptopurine,S1305,S=c1nc[nH]c2nc[nH]c12,L1300-02,b2
Edaravone (MCI-186),S1326,CC1=NN(c2ccccc2)C(=O)C1,L1300-02,f2
Etodolac (Lodine),S1328,CCc1cccc2c3c([nH]c12)[C@@](CC)(CC(=O)O)OCC3,L1300-02,g2
Etomidate,S1329,CCOC(=O)c1cncn1C(C)c1ccccc1,L1300-02,h2
Flumazenil,S1332,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,L1300-02,c3
Fluoxetine  HCl,S1333,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1.Cl,L1300-02,d3
Lansoprazole,S1354,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1,L1300-02,c4
Levetiracetam,S1356,CC[C@@H](C(N)=O)N1CCCC1=O,L1300-02,d4
Lidocaine (Alphacaine),S1357,CCN(CC)CC(=O)Nc1c(C)cccc1C,L1300-02,e4
Loratadine,S1358,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,L1300-02,f4
Gestodene,S1376,C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,L1300-02,b5
Drospirenone,S1377,C[C@]12CC[C@H]3[C@H]([C@@H]1[C@@H]1C[C@@H]1[C@@]21CCC(=O)O1)[C@H]1C[C@H]1C1=CC(=O)CC[C@@]13C,L1300-02,c5
Ruxolitinib (INCB018424),S1378,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,L1300-02,d5
Mianserin hydrochloride,S1382,CN1CCN2c3ccccc3Cc3ccccc3C2C1.Cl,L1300-02,h5
Omeprazole (Prilosec),S1389,COc1ccc2[nH]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,L1300-02,c6
Ondansetron hydrochloride (Zofran),S1390,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O.Cl,L1300-02,d6
Oxcarbazepine,S1391,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,L1300-02,e6
Stavudine,S1398,Cc1cn(C2C=CC(CO)O2)c(=O)[nH]c1=O,L1300-02,a7
Trilostane,S1404,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O,L1300-02,e7
