,Item Name,CatalogNumber,SMILES,Rack Number,Plate Location
0, Procaine (Novocaine) HCl,S4023,"Cl.CCN(CC)CCOC(=O)C1=CC=C(N)C=C1 |c:15,t:10,12|",L1300-09,b7
1,Potassium iodide,S1897,[K+].[I-],L1300-05,e2
2,Cysteamine HCl,S4206,Cl.NCCS,L1300-10,e11
3,Methenamine (Mandelamine),S3139,C1N2CN3CN1CN(C2)C3,L1300-08,d11
4,"Busulfan (Myleran, Busulfex)",S1692,CS(=O)(=O)OCCCCOS(C)(=O)=O,L1300-03,f10
5,Aminothiazole,S4198,"NC1=NC=CS1 |c:3,t:1|",L1300-10,f10
6,Adrucil (Fluorouracil),S1209,FC1=CNC(=O)NC1=O |t:1|,L1300-01,g6
7,Memantine HCl (Namenda),S2043,Cl.CC12CC3CC(C)(C1)CC(N)(C3)C2,L1300-05,e11
8,Dimethyl Fumarate,S2586,COC(=O)\C=C\C(=O)OC,L1300-08,a1
9,Altretamine (Hexalen),S1278,"CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C |c:5,7,t:3|",L1300-01,a11
10,Mequinol,S4077,"COC1=CC=C(O)C=C1 |c:7,t:2,4|",L1300-10,c1
11,Isosorbide,S4204,[H][C@]12OC[C@@H](O)[C@@]1([H])OC[C@@H]2O |r|,L1300-10,c11
12,Coumarin,S4170,"O=C1OC2=C(C=CC=C2)C=C1 |c:5,7,10,t:3|",L1300-10,f7
13,Disulfiram (Antabuse),S1680,CCN(CC)C(=S)SSC(=S)N(CC)CC,L1300-03,f9
14,Ifosfamide,S1302,ClCCNP1(=O)OCCCN1CCCl,L1300-02,h1
15,Pyrazinamide (Pyrazinoic acid amide),S1762,"NC(=O)C1=NC=CN=C1 |c:5,7,t:3|",L1300-04,b5
16,Acetylcysteine,S1623,[H][C@@](CS)(NC(C)=O)C(O)=O |r|,L1300-03,h4
17,Pyridostigmine Bromide (Mestinon),S1608,"[Br-].CN(C)C(=O)OC1=C[N+](C)=CC=C1 |c:9,11,t:6|",L1300-03,e3
18,Protionamide (Prothionamide),S1881,"CCCC1=NC=CC(=C1)C(N)=S |c:5,7,t:3|",L1300-05,c1
19,Chlorpropamide,S4166,"CCCNC(=O)NS(=O)(=O)C1=CC=C(Cl)C=C1 |c:15,t:10,12|",L1300-10,c7
20,"Methimazole (Tapazole, Northyx)",S1609,CN1C=CNC1=S |c:2|,L1300-03,f3
21,Malotilate,S1137,CC(C)OC(=O)C(C(=O)OC(C)C)=C1SC=CS1 |c:15|,L1300-01,h3
22,Mercaptopurine,S1305,"S=C1N=CNC2=C1NC=N2 |c:2,5,9|",L1300-02,b2
23,PMSF (Phenylmethylsulfonyl Fluoride),S3025,"FS(=O)(=O)CC1=CC=CC=C1 |c:7,9,t:5|",L1300-08,h5
24,Dienogest,S1251,"[H][C@@]12CC[C@@](O)(CC#N)[C@@]1(C)CCC1=C3CCC(=O)C=C3CC[C@@]21[H] |r,c:14,20|",L1300-01,e9
25,Dibenzothiophene,S4205,"S1C2=CC=CC=C2C2=C1C=CC=C2 |c:3,5,8,11,13,t:1|",L1300-10,d11
26,Letrozole,S1235,"N#CC1=CC=C(C=C1)C(N1C=NC=N1)C1=CC=C(C=C1)C#N |c:4,6,11,13,18,20,t:2,16|",L1300-01,g8
27,Lomustine (CeeNU),S1840,ClCCN(N=O)C(=O)NC1CCCCC1,L1300-04,c10
28,9-Aminoacridine,S4303,"NC1=C2C=CC=CC2=NC2=CC=CC=C12 |c:1,3,5,8,12,t:10,14|",L1300-11,c5
