,Item Name,Rack Number,Plate Location,CatalogNumber,Source Well
0,Prednisone (Adasone),L1300-03,g4,S1622,A1
1,Prednisone (Adasone),L1300-03,g4,S1622,A2
2,Prednisone (Adasone),L1300-03,g4,S1622,A3
3,Prednisone (Adasone),L1300-03,g4,S1622,A4
4,Potassium iodide,L1300-05,e2,S1897,A5
5,Potassium iodide,L1300-05,e2,S1897,A6
6,Potassium iodide,L1300-05,e2,S1897,A7
7,Potassium iodide,L1300-05,e2,S1897,A8
8,Cysteamine HCl,L1300-10,e11,S4206,A9
9,Cysteamine HCl,L1300-10,e11,S4206,A10
10,Cysteamine HCl,L1300-10,e11,S4206,A11
11,Cysteamine HCl,L1300-10,e11,S4206,A12
12,Mequinol,L1300-10,c1,S4077,A13
13,Mequinol,L1300-10,c1,S4077,A14
14,Mequinol,L1300-10,c1,S4077,A15
15,Mequinol,L1300-10,c1,S4077,A16
16,Methenamine (Mandelamine),L1300-08,d11,S3139,A17
17,Methenamine (Mandelamine),L1300-08,d11,S3139,A18
18,Methenamine (Mandelamine),L1300-08,d11,S3139,A19
19,Methenamine (Mandelamine),L1300-08,d11,S3139,A20
20,Aminothiazole,L1300-10,f10,S4198,A21
21,Aminothiazole,L1300-10,f10,S4198,A22
22,Aminothiazole,L1300-10,f10,S4198,A23
23,Aminothiazole,L1300-10,f10,S4198,A24
24,"Busulfan (Myleran, Busulfex)",L1300-03,f10,S1692,B1
25,"Busulfan (Myleran, Busulfex)",L1300-03,f10,S1692,B2
26,"Busulfan (Myleran, Busulfex)",L1300-03,f10,S1692,B3
27,"Busulfan (Myleran, Busulfex)",L1300-03,f10,S1692,B4
28,Disulfiram (Antabuse),L1300-03,f9,S1680,B5
29,Disulfiram (Antabuse),L1300-03,f9,S1680,B6
30,Disulfiram (Antabuse),L1300-03,f9,S1680,B7
31,Disulfiram (Antabuse),L1300-03,f9,S1680,B8
32,Uracil,L1300-10,d8,S4177,B9
33,Uracil,L1300-10,d8,S4177,B10
34,Uracil,L1300-10,d8,S4177,B11
35,Uracil,L1300-10,d8,S4177,B12
36,PMSF (Phenylmethylsulfonyl Fluoride),L1300-08,h5,S3025,B13
37,PMSF (Phenylmethylsulfonyl Fluoride),L1300-08,h5,S3025,B14
38,PMSF (Phenylmethylsulfonyl Fluoride),L1300-08,h5,S3025,B15
39,PMSF (Phenylmethylsulfonyl Fluoride),L1300-08,h5,S3025,B16
40,Dimethyl Fumarate,L1300-08,a1,S2586,B17
41,Dimethyl Fumarate,L1300-08,a1,S2586,B18
42,Dimethyl Fumarate,L1300-08,a1,S2586,B19
43,Dimethyl Fumarate,L1300-08,a1,S2586,B20
44,Altretamine (Hexalen),L1300-01,a11,S1278,B21
45,Altretamine (Hexalen),L1300-01,a11,S1278,B22
46,Altretamine (Hexalen),L1300-01,a11,S1278,B23
47,Altretamine (Hexalen),L1300-01,a11,S1278,B24
48,Dibenzothiophene,L1300-10,d11,S4205,C1
49,Dibenzothiophene,L1300-10,d11,S4205,C2
50,Dibenzothiophene,L1300-10,d11,S4205,C3
51,Dibenzothiophene,L1300-10,d11,S4205,C4
52,Acetanilide (Antifebrin),L1300-07,a8,S2538,C5
53,Acetanilide (Antifebrin),L1300-07,a8,S2538,C6
54,Acetanilide (Antifebrin),L1300-07,a8,S2538,C7
55,Acetanilide (Antifebrin),L1300-07,a8,S2538,C8
56,Pyrazinamide (Pyrazinoic acid amide),L1300-04,b5,S1762,C9
57,Pyrazinamide (Pyrazinoic acid amide),L1300-04,b5,S1762,C10
58,Pyrazinamide (Pyrazinoic acid amide),L1300-04,b5,S1762,C11
59,Pyrazinamide (Pyrazinoic acid amide),L1300-04,b5,S1762,C12
60,Cyclamic  acid,L1300-09,c6,S4015,C13
61,Cyclamic  acid,L1300-09,c6,S4015,C14
62,Cyclamic  acid,L1300-09,c6,S4015,C15
63,Cyclamic  acid,L1300-09,c6,S4015,C16
64,Acetylcysteine,L1300-03,h4,S1623,C17
65,Acetylcysteine,L1300-03,h4,S1623,C18
66,Acetylcysteine,L1300-03,h4,S1623,C19
67,Acetylcysteine,L1300-03,h4,S1623,C20
68,Mepiroxol,L1300-11,f6,S4333,C21
69,Mepiroxol,L1300-11,f6,S4333,C22
70,Mepiroxol,L1300-11,f6,S4333,C23
71,Mepiroxol,L1300-11,f6,S4333,C24
72,Chlorpropamide,L1300-10,c7,S4166,D1
73,Chlorpropamide,L1300-10,c7,S4166,D2
74,Chlorpropamide,L1300-10,c7,S4166,D3
75,Chlorpropamide,L1300-10,c7,S4166,D4
76,Isosorbide,L1300-10,c11,S4204,D5
77,Isosorbide,L1300-10,c11,S4204,D6
78,Isosorbide,L1300-10,c11,S4204,D7
79,Isosorbide,L1300-10,c11,S4204,D8
80,Mercaptopurine,L1300-02,b2,S1305,D9
81,Mercaptopurine,L1300-02,b2,S1305,D10
82,Mercaptopurine,L1300-02,b2,S1305,D11
83,Mercaptopurine,L1300-02,b2,S1305,D12
84,Mefenamic acid,L1300-10,d1,S4078,D13
85,Mefenamic acid,L1300-10,d1,S4078,D14
86,Mefenamic acid,L1300-10,d1,S4078,D15
87,Mefenamic acid,L1300-10,d1,S4078,D16
88,Pyridostigmine Bromide (Mestinon),L1300-03,e3,S1608,D17
89,Pyridostigmine Bromide (Mestinon),L1300-03,e3,S1608,D18
90,Pyridostigmine Bromide (Mestinon),L1300-03,e3,S1608,D19
91,Pyridostigmine Bromide (Mestinon),L1300-03,e3,S1608,D20
92,Ifosfamide,L1300-02,h1,S1302,D21
93,Ifosfamide,L1300-02,h1,S1302,D22
94,Ifosfamide,L1300-02,h1,S1302,D23
95,Ifosfamide,L1300-02,h1,S1302,D24
96,Coumarin,L1300-10,f7,S4170,E1
97,Coumarin,L1300-10,f7,S4170,E2
98,Coumarin,L1300-10,f7,S4170,E3
99,Coumarin,L1300-10,f7,S4170,E4
100,Valproic acid sodium salt (Sodium valproate),L1300-01,f4,S1168,E5
101,Valproic acid sodium salt (Sodium valproate),L1300-01,f4,S1168,E6
102,Valproic acid sodium salt (Sodium valproate),L1300-01,f4,S1168,E7
103,Valproic acid sodium salt (Sodium valproate),L1300-01,f4,S1168,E8
104,Procodazole,L1300-12,d1,S4408,E9
105,Procodazole,L1300-12,d1,S4408,E10
106,Procodazole,L1300-12,d1,S4408,E11
107,Procodazole,L1300-12,d1,S4408,E12
108,Lomustine (CeeNU),L1300-04,c10,S1840,E13
109,Lomustine (CeeNU),L1300-04,c10,S1840,E14
110,Lomustine (CeeNU),L1300-04,c10,S1840,E15
111,Lomustine (CeeNU),L1300-04,c10,S1840,E16
112,Diethylstilbestrol (Stilbestrol),L1300-04,d11,S1859,E17
113,Diethylstilbestrol (Stilbestrol),L1300-04,d11,S1859,E18
114,Diethylstilbestrol (Stilbestrol),L1300-04,d11,S1859,E19
115,Diethylstilbestrol (Stilbestrol),L1300-04,d11,S1859,E20
116,Malotilate,L1300-01,h3,S1137,E21
117,Malotilate,L1300-01,h3,S1137,E22
118,Malotilate,L1300-01,h3,S1137,E23
119,Malotilate,L1300-01,h3,S1137,E24
120,"Methimazole (Tapazole, Northyx)",L1300-03,f3,S1609,F1
121,"Methimazole (Tapazole, Northyx)",L1300-03,f3,S1609,F2
122,"Methimazole (Tapazole, Northyx)",L1300-03,f3,S1609,F3
123,"Methimazole (Tapazole, Northyx)",L1300-03,f3,S1609,F4
124,Bemegride,L1300-10,e10,S4197,F5
125,Bemegride,L1300-10,e10,S4197,F6
126,Bemegride,L1300-10,e10,S4197,F7
127,Bemegride,L1300-10,e10,S4197,F8
128,Bethanechol chloride,L1300-07,a1,S2455,F9
129,Bethanechol chloride,L1300-07,a1,S2455,F10
130,Bethanechol chloride,L1300-07,a1,S2455,F11
131,Bethanechol chloride,L1300-07,a1,S2455,F12
132,Metronidazole (Flagyl),L1300-05,d3,S1907,F13
133,Metronidazole (Flagyl),L1300-05,d3,S1907,F14
134,Metronidazole (Flagyl),L1300-05,d3,S1907,F15
135,Metronidazole (Flagyl),L1300-05,d3,S1907,F16
136,"Terbinafine (Lamisil, Terbinex)",L1300-04,b2,S1725,F17
137,"Terbinafine (Lamisil, Terbinex)",L1300-04,b2,S1725,F18
138,"Terbinafine (Lamisil, Terbinex)",L1300-04,b2,S1725,F19
139,"Terbinafine (Lamisil, Terbinex)",L1300-04,b2,S1725,F20
140,Letrozole,L1300-01,g8,S1235,F21
141,Letrozole,L1300-01,g8,S1235,F22
142,Letrozole,L1300-01,g8,S1235,F23
143,Letrozole,L1300-01,g8,S1235,F24
144,Zoxazolamine,L1300-11,c3,S4233,G1
145,Zoxazolamine,L1300-11,c3,S4233,G2
146,Zoxazolamine,L1300-11,c3,S4233,G3
147,Zoxazolamine,L1300-11,c3,S4233,G4
148,Ethionamide,L1300-04,c6,S1777,G5
149,Ethionamide,L1300-04,c6,S1777,G6
150,Ethionamide,L1300-04,c6,S1777,G7
151,Ethionamide,L1300-04,c6,S1777,G8
152,Scopine,L1300-07,e8,S2545,G9
153,Scopine,L1300-07,e8,S2545,G10
154,Scopine,L1300-07,e8,S2545,G11
155,Scopine,L1300-07,e8,S2545,G12
156,Antipyrine,L1300-09,e2,S3173,G13
157,Antipyrine,L1300-09,e2,S3173,G14
158,Antipyrine,L1300-09,e2,S3173,G15
159,Antipyrine,L1300-09,e2,S3173,G16
160,Broxyquinoline,L1300-10,c10,S4195,G17
161,Broxyquinoline,L1300-10,c10,S4195,G18
162,Broxyquinoline,L1300-10,c10,S4195,G19
163,Broxyquinoline,L1300-10,c10,S4195,G20
164,Arecoline,L1300-08,b3,S2614,G21
165,Arecoline,L1300-08,b3,S2614,G22
166,Arecoline,L1300-08,b3,S2614,G23
167,Arecoline,L1300-08,b3,S2614,G24
168,Zonisamide,L1300-02,h9,S1445,H1
169,Zonisamide,L1300-02,h9,S1445,H2
170,Zonisamide,L1300-02,h9,S1445,H3
171,Zonisamide,L1300-02,h9,S1445,H4
172,Detomidine HCl,L1300-06,g4,S2092,H5
173,Detomidine HCl,L1300-06,g4,S2092,H6
174,Detomidine HCl,L1300-06,g4,S2092,H7
175,Detomidine HCl,L1300-06,g4,S2092,H8
176,Clonidine hydrochloride (Catapres),L1300-07,d1,S2458,H9
