,name,smiles,km,vmax,c,rsq
0,Altretamine (Hexalen),"CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C |c:5,7,t:3|",908048.2836010149,195.3516583977243,0.03313155310314261,0.3779514690471639
1,Valproic acid sodium salt (Sodium valproate),[Na+].CCCC(CCC)C([O-])=O,13.623402928151215,0.06207164535166772,2.4666525866331285e-21,0.8407074828484099
2,Malotilate,CC(C)OC(=O)C(C(=O)OC(C)C)=C1SC=CS1 |c:15|,3.304216159463991,0.27289055904944565,2.3100326395077103e-19,0.6235895273013286
3,Methazolastone,"CN1N=NC2=C(N=CN2C1=O)C(N)=O |c:2,6,t:4|",31924.255589902798,1.2528175378601404e-09,0.01724311758237589,-3.0140112627918825e-11
4,Mercaptopurine,"S=C1N=CNC2=C1NC=N2 |c:2,5,9|",211.7272382461907,0.1251153696566679,0.00580871569585637,0.816832549654444
5,Levetiracetam,CC[C@H](N1CCCC1=O)C(N)=O |r|,737.9896416821044,0.4791805220025003,0.009286475182686936,0.9421326884508753
6,Acitretin,"COC1=CC(C)=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)=C1C |c:21,t:2,5|",1.1712902254912767,4.30145975182899,5.554031028424927e-08,0.06490714200256043
7,Tianeptine sodium,"[Na+].CN1C2=C(C=CC=C2)C(NCCCCCCC([O-])=O)C2=CC=C(Cl)C=C2S1(=O)=O |c:4,6,25,t:2,20,22|",5.398779362926803,0.1000120833401481,2.6304261314984844e-24,0.6816526965297041
8,Silodosin (Rapaflo),"C[C@H](CC1=CC2=C(N(CCCO)CC2)C(=C1)C(N)=O)NCCOC1=CC=CC=C1OCC(F)(F)F |r,c:15,27,29,t:3,5,25|",5.552348441911513,0.08375101180934565,6.1985094013993375e-24,0.659697407982105
9,Amphotericin B ,"[H][C@]12C[C@@H](O[C@]3([H])O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2 |r,t:17,19,21,23,25,27,29|",4.4982175903127715,1.3196729959410856,2.0762739848655917e-20,0.8063352151784926
10,Betamethasone valerate (Betnovate),"[H][C@@]12C[C@H](C)[C@](OC(=O)CCCC)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C |r,c:34,t:30|",10279892.622637177,9791.727568917993,0.0212762917931525,0.9418663241993562
11,Rizatriptan Benzoate ,"OC(=O)C1=CC=CC=C1.CN(C)CCC1=CNC2=C1C=C(CN1C=NC=N1)C=C2 |c:5,7,17,24,26,29,t:3,14,20|",3.226400860375589,0.08024551166555415,2.985566751543056e-19,0.3669704291917696
12,Flurbiprofen (Ansaid),"C[C@H](C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1 |r,c:8,10,15,17,t:5,13|",33.20597356954971,0.04820426848534362,0.0038675495885984274,0.7326187568983731
13,Pyridostigmine Bromide (Mestinon),"[Br-].CN(C)C(=O)OC1=C[N+](C)=CC=C1 |c:9,11,t:6|",4.051348769506277,0.033969834817174395,4.132600065213115e-19,0.33604072147710695
14,"Orlistat (Alli, Xenical)",CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O |r|,31924.255872914,8.518040280564215e-10,0.019482915228925694,-2.0600854355734555e-11
15,Flucytosine (Ancobon),"NC1=NC(=O)NC=C1F |c:6,t:1|",2.9910097672091127,0.06498331314286813,2.6433076516724626e-22,0.3634692292311741
16,Prednisone (Adasone),"[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C |r,c:27,t:23|",15961.676801945645,3.943550817408904e-12,0.028518777788478784,-3.355093980417223e-13
17,"Mesna (Uromitexan, Mesnex)",[Na+].[O-]S(=O)(=O)CCS,37128303.80973703,655.2284933973425,0.0527302601863174,0.00313547347549914
18,"Terbinafine (Lamisil, Terbinex)","CN(C\C=C\C#CC(C)(C)C)CC1=CC=CC2=CC=CC=C12 |c:14,18,t:12,16,20|",16.54265517104607,0.2704910482628709,1.1585186676802277e-23,0.9335714887750621
19,Pyrazinamide (Pyrazinoic acid amide),"NC(=O)C1=NC=CN=C1 |c:5,7,t:3|",177.42626231525588,0.06502894800912648,0.00900222960507474,0.49343175652909677
20,Pranlukast,"O=C(NC1=CC2=C(C=C1)C(=O)C=C(O2)C1=NN=NN1)C1=CC=C(OCCCCC2=CC=CC=C2)C=C1 |c:5,7,12,18,33,35,38,t:3,16,22,24,31|",25.543295957458948,0.591564693718006,0.10144258194877857,0.6815956473409002
21,Guaifenesin (Guaiphenesin),"COC1=C(OCC(O)CO)C=CC=C1 |c:2,10,12|",5.408951065806885,0.056164447566838506,3.2665211669768385e-34,0.5045406859498185
22,Metronidazole (Flagyl),"CC1=NC=C(N1CCO)[N+]([O-])=O |c:3,t:1|",6.2170930237080695,0.12597964383513413,1.9170642477445458e-23,0.1295771045477927
23,Potassium iodide,[K+].[I-],18.77133684476391,1.1184553785241282,2.0567141536405835e-34,0.27422201746794195
