Item Name,CatalogNumber,SMILES,Rack Number,Plate Location
Prednisone (Adasone),S1622,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,L1300-03,g4
Potassium iodide,S1897,[I-].[K+],L1300-05,e2
Cysteamine HCl,S4206,Cl.NCCS,L1300-10,e11
Mequinol,S4077,COc1ccc(O)cc1,L1300-10,c1
Methenamine (Mandelamine),S3139,C1N2CN3CN1CN(C2)C3,L1300-08,d11
Aminothiazole,S4198,Nc1nccs1,L1300-10,f10
"Busulfan (Myleran, Busulfex)",S1692,CS(=O)(=O)OCCCCOS(C)(=O)=O,L1300-03,f10
Disulfiram (Antabuse),S1680,CCN(CC)C(=S)SSC(=S)N(CC)CC,L1300-03,f9
Uracil,S4177,O=c1cc[nH]c(=O)[nH]1,L1300-10,d8
PMSF (Phenylmethylsulfonyl Fluoride),S3025,O=S(=O)(F)Cc1ccccc1,L1300-08,h5
Dimethyl Fumarate,S2586,COC(=O)/C=C/C(=O)OC,L1300-08,a1
Altretamine (Hexalen),S1278,CN(C)c1nc(N(C)C)nc(N(C)C)n1,L1300-01,a11
Dibenzothiophene,S4205,c1ccc2c(c1)sc1ccccc12,L1300-10,d11
Acetanilide (Antifebrin),S2538,CC(=O)Nc1ccccc1,L1300-07,a8
Pyrazinamide (Pyrazinoic acid amide),S1762,NC(=O)c1cnccn1,L1300-04,b5
Cyclamic  acid,S4015,O=S(=O)(O)NC1CCCCC1,L1300-09,c6
Acetylcysteine,S1623,CC(=O)N[C@@H](CS)C(=O)O,L1300-03,h4
Mepiroxol,S4333,[O-][n+]1cccc(CO)c1,L1300-11,f6
Chlorpropamide,S4166,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,L1300-10,c7
Isosorbide,S4204,O[C@H]1CO[C@@H]2[C@H](O)CO[C@H]12,L1300-10,c11
Mercaptopurine,S1305,S=c1nc[nH]c2nc[nH]c12,L1300-02,b2
Mefenamic acid,S4078,Cc1cccc(Nc2ccccc2C(=O)O)c1C,L1300-10,d1
Pyridostigmine Bromide (Mestinon),S1608,CN(C)C(=O)Oc1ccc[n+](C)c1.[Br-],L1300-03,e3
Ifosfamide,S1302,O=P1(NCCCl)OCCCN1CCCl,L1300-02,h1
Coumarin,S4170,O=c1ccc2ccccc2o1,L1300-10,f7
Valproic acid sodium salt (Sodium valproate),S1168,CCCC(CCC)C(=O)[O-].[Na+],L1300-01,f4
Procodazole,S4408,O=C(O)CCc1nc2ccccc2[nH]1,L1300-12,d1
Lomustine (CeeNU),S1840,O=NN(CCCl)C(=O)NC1CCCCC1,L1300-04,c10
Diethylstilbestrol (Stilbestrol),S1859,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,L1300-04,d11
Malotilate,S1137,CC(C)OC(=O)C(C(=O)OC(C)C)=C1SC=CS1,L1300-01,h3
"Methimazole (Tapazole, Northyx)",S1609,Cn1cc[nH]c1=S,L1300-03,f3
Bemegride,S4197,CCC1(C)CC(=O)NC(=O)C1,L1300-10,e10
Bethanechol chloride,S2455,CC(C[N+](C)(C)C)OC(N)=O.[Cl-],L1300-07,a1
Metronidazole (Flagyl),S1907,Cc1ncc([N+](=O)[O-])n1CCO,L1300-05,d3
"Terbinafine (Lamisil, Terbinex)",S1725,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,L1300-04,b2
Letrozole,S1235,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,L1300-01,g8
Zoxazolamine,S4233,Nc1nc2cc(Cl)ccc2o1,L1300-11,c3
Ethionamide,S1777,CCc1cc(C(N)=S)ccn1,L1300-04,c6
Scopine,S2545,CN1[C@H]2C[C@H](O)C[C@@H]1[C@H]1O[C@@H]21,L1300-07,e8
Antipyrine,S3173,Cc1cc(=O)n(-c2ccccc2)n1C,L1300-09,e2
Broxyquinoline,S4195,Oc1c(Br)cc(Br)c2cccnc12,L1300-10,c10
Arecoline,S2614,Br.COC(=O)C1=CCCN(C)C1,L1300-08,b3
Zonisamide,S1445,NS(=O)(=O)Cc1noc2ccccc12,L1300-02,h9
Detomidine HCl,S2092,Cc1cccc(Cc2c[nH]cn2)c1C.Cl,L1300-06,g4
Clonidine hydrochloride (Catapres),S2458,Cl.Clc1cccc(Cl)c1NC1=NCCN1,L1300-07,d1
Nithiamide,S4232,CC(=O)Nc1ncc([N+](=O)[O-])s1,L1300-11,b3
Allopurinol (Zyloprim),S1630,O=c1ncnc2[nH][nH]cc1-2,L1300-03,f5
Gimeracil,S2055,O=c1cc(O)c(Cl)c[nH]1,L1300-06,f1
Amantadine hydrochloride (Symmetrel),S2451,Cl.NC12CC3CC(CC(C3)C1)C2,L1300-06,e11
Moguisteine,S3104,CCOC(=O)CC(=O)N1CCSC1COc1ccccc1OC,L1300-08,e9
Xylometazoline HCl,S2576,Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1.Cl,L1300-07,b11
Leflunomide,S1247,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,L1300-01,c9
Milrinone (Primacor),S2484,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,L1300-07,b3
Tioxolone,S2603,O=c1oc2cc(O)ccc2s1,L1300-08,b2
Azaperone,S4219,O=C(CCCN1CCN(c2ccccn2)CC1)c1ccc(F)cc1,L1300-11,g1
Chlorocresol,S4209,Cc1cc(O)ccc1Cl,L1300-10,h11
Carmofur,S1289,CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O,L1300-02,b1
"Mesna (Uromitexan, Mesnex)",S1735,O=S(=O)([O-])CCS.[Na+],L1300-04,a3
Diphenhydramine HCl (Benadryl),S1866,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,L1300-04,f11
Pyrithione zinc,S4075,C1=CC2=[S][Zn]3(ON2C=C1)ON1C=CC=CC1=[S]3,L1300-10,a1
Amprolium HCl,S4144,CCCc1ncc(C[n+]2ccccc2C)c(N)n1.Cl.[Cl-],L1300-10,e5
Cyclandelate,S4189,CC1CC(OC(=O)C(O)c2ccccc2)CC(C)(C)C1,L1300-10,f9
Tolnaftate,S2058,Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1,L1300-06,h1
Chlorpromazine (Sonazine),S2456,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21.Cl,L1300-07,b1
Levetiracetam,S1356,CC[C@@H](C(N)=O)N1CCCC1=O,L1300-02,d4
Aspirin (Acetylsalicylic acid),S3017,CC(=O)Oc1ccccc1C(=O)O,L1300-08,a5
Climbazole,S4178,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,L1300-10,e8
Riluzole (Rilutek),S1614,Nc1nc2ccc(OC(F)(F)F)cc2s1,L1300-03,b4
Florfenicol,S4201,CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl)cc1,L1300-10,a11
Xylazine HCl,S2516,Cc1cccc(C)c1NC1=NCCCS1.Cl,L1300-07,b6
Carbimazole,S4048,CCOC(=O)n1ccn(C)c1=S,L1300-09,e9
Propylthiouracil,S1988,CCCc1cc(=O)[nH]c(=S)[nH]1,L1300-05,a8
