,Item Name,CatalogNumber
A1, Procaine (Novocaine) HCl,S4023
A2,Potassium iodide,S1897
A3,Cysteamine HCl,S4206
A4,Methenamine (Mandelamine),S3139
A5,"Busulfan (Myleran, Busulfex)",S1692
A6,Aminothiazole,S4198
A7,Adrucil (Fluorouracil),S1209
A8,Memantine HCl (Namenda),S2043
A9,Dimethyl Fumarate,S2586
A10,Altretamine (Hexalen),S1278
A11,Mequinol,S4077
A12,Isosorbide,S4204
B1,Coumarin,S4170
B2,Disulfiram (Antabuse),S1680
B3,Ifosfamide,S1302
B4,Pyrazinamide (Pyrazinoic acid amide),S1762
B5,Acetylcysteine,S1623
B6,Pyridostigmine Bromide (Mestinon),S1608
B7,Protionamide (Prothionamide),S1881
B8,Chlorpropamide,S4166
B9,"Methimazole (Tapazole, Northyx)",S1609
B10,Malotilate,S1137
B11,Mercaptopurine,S1305
B12,PMSF (Phenylmethylsulfonyl Fluoride),S3025
C1,Dienogest,S1251
C2,Dibenzothiophene,S4205
C3,Letrozole,S1235
C4,Lomustine (CeeNU),S1840
C5,9-Aminoacridine,S4303
C6,Ibuprofen (Advil),S1638
C7,Valproic acid sodium salt (Sodium valproate),S1168
C8,Clonidine hydrochloride (Catapres),S2458
C9,Metronidazole (Flagyl),S1907
C10,Antipyrine,S3173
C11,Scopine,S2545
C12,Zoxazolamine,S4233
D1,"Terbinafine (Lamisil, Terbinex)",S1725
D2,Choline Chloride,S4171
D3,Mepiroxol,S4333
D4,imazethapyr,
D5,atrazine,
D6,fomesafen,
D7,butafenacil,
D8,nicosulfuron,
D9,mesotrione,
D10,tembotrione,
