,name,smiles,kd,vmax,r squared
0,Sorbitol (Glucitol),OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO |r|,7.931764297494027,0.07921675235427071,0.7027251365418682
1,Orphenadrine citrate (Norflex),"OC(=O)CC(O)(CC(O)=O)C(O)=O.CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1C |c:21,23,28,30,t:19,26|",659839.1546425545,50.83478419724051,0.1351878439167139
2,Lafutidine,"O=C(CS(=O)CC1=CC=CO1)NC\C=C/COC1=CC(CN2CCCCC2)=CC=N1 |c:8,28,30,t:6,18|",145.53121767400683,0.041135603191515636,0.5060635141743872
3,Bethanechol chloride,[Cl-].CC(C[N+](C)(C)C)OC(N)=O,10640.815663827849,4.448028202950004e-10,-1.805742222416029e-10
4,Methacycline hydrochloride (Physiomycine),"Cl.[H][C@@]12[C@@H](O)[C@]3([H])C(=C)C4=CC=CC(O)=C4C(=O)C3=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C |r,c:10,13,t:8,19,30|",69.32375218555671,0.014544018505723413,0.08467010609293124
5,Xylazine HCl,"Cl.CC1=CC=CC(C)=C1NC1=NCCCS1 |c:3,6,t:1,10|",2.996786150804052,1.4228690761668232,0.6446326401682928
6,Ciclopirox (Penlac),"CC1=CC(=O)N(O)C(=C1)C1CCCCC1 |c:7,t:1|",3.5301010673709974,0.10259606221040046,0.5286888658050068
7,Scopine,[H][C@]12O[C@@]1([H])[C@]1([H])C[C@H](O)C[C@@]2([H])N1C |r|,4.114559901823363,0.06370679578860333,0.47053258907160045
8,Brompheniramine,"OC(=O)\C=C/C(O)=O.CN(C)CCC(C1=CC=C(Br)C=C1)C1=CC=CC=N1 |c:18,23,25,t:13,15,21|",3.9105325027483198,0.032823920997041275,0.5170361530734896
9,Acemetacin (Emflex),"COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(=O)OCC(O)=O |c:4,6,17,21,t:2,12,14|",8.899410508623825,0.07063139503492002,0.8016620369716726
10,Clorsulon,"NC1=CC(C(Cl)=C(Cl)Cl)=C(C=C1S(N)(=O)=O)S(N)(=O)=O |c:8,10,t:1|",17735.29709189895,8.377821720598678e-13,-8.704148513061227e-14
11,Sulfathiazole,"NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CS1 |c:3,5,14,t:1,12|",3.320094492399861,0.08484208720753646,0.5388016320603045
12,Oxybutynin chloride,"Cl.CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1 |c:23,25,t:21|",1816705.953161294,536.6454322178664,0.3082716147530392
13,Trimethoprim,"COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC |c:11,14,18,t:2,6,8|",21282.535567558283,2.4753306363708306e-09,-1.9501689152434665e-10
14,Lamotrigine,"NC1=NC(N)=C(N=N1)C1=CC=CC(Cl)=C1Cl |c:4,6,11,14,t:1,9|",151.4950068494421,0.08574597221169508,0.5499721193398678
15,Amitriptyline HCl,"Cl.CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12 |c:9,11,18,t:7,16,20|",36909.006326368915,3.128230525882293,0.447739424490313
16,Cyclamic  acid,OS(=O)(=O)NC1CCCCC1,3.7858821522539325,0.0667596409477496,0.5855978067045403
17,Antipyrine,"CN1N(C(=O)C=C1C)C1=CC=CC=C1 |c:5,11,13,t:9|",158613374.23418468,6432.824647856951,0.09812319523096669
18,Betahistine 2HCl,"Cl.Cl.CNCCC1=NC=CC=C1 |c:6,8,t:4|",8867.196021640078,1.9167058748556156e-13,-4.951594689828198e-14
19,Sodium nitrite,[Na+].[O-]N=O,169896.45452435513,3.0135576114275193,0.024376621251488095
20,Betamipron,"OC(=O)CCNC(=O)C1=CC=CC=C1 |c:10,12,t:8|",30150.635248420265,8.843394348451244e-11,-5.479838804944848e-12
21,Azaguanine-8,"NC1=NC2=C(N=NN2)C(=O)N1 |c:5,t:1,3|",7536.9838117650015,6.688928468450875e-11,-5.182076989740381e-12
22,Benzydamine Hydrochloride,"Cl.CN(C)CCCOC1=NN(CC2=CC=CC=C2)C2=CC=CC=C12 |c:13,15,20,t:7,11,18,22|",1375989.739728914,11527.03876658512,0.7738396576977686
