,name,smiles,kd,vmax,r squared
0,Altretamine (Hexalen),"CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C |c:5,7,t:3|",135758640.0327909,10524.14196287495,0.14560986768126727
1,Valproic acid sodium salt (Sodium valproate),[Na+].CCCC(CCC)C([O-])=O,492.7126022109518,0.017011185916089647,0.025257760614279867
2,Malotilate,CC(C)OC(=O)C(C(=O)OC(C)C)=C1SC=CS1 |c:15|,4.885984377791467,0.5002164384100183,0.7635584532153691
3,Methazolastone,"CN1N=NC2=C(N=CN2C1=O)C(N)=O |c:2,6,t:4|",35.53644232300312,0.08622665720580548,0.6256219773162569
4,Mercaptopurine,"S=C1N=CNC2=C1NC=N2 |c:2,5,9|",27.294171872521307,0.0477947882497495,0.16147031544184942
5,Levetiracetam,CC[C@H](N1CCCC1=O)C(N)=O |r|,1.993756453274721,0.025138281967556714,0.1285469022917124
6,Acitretin,"COC1=CC(C)=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)=C1C |c:21,t:2,5|",2.524025599236389,41.188803553527485,0.5582994030818207
7,Tianeptine sodium,"[Na+].CN1C2=C(C=CC=C2)C(NCCCCCCC([O-])=O)C2=CC=C(Cl)C=C2S1(=O)=O |c:4,6,25,t:2,20,22|",6.708312100600613,0.04236411019389455,0.5123000237132009
8,Silodosin (Rapaflo),"C[C@H](CC1=CC2=C(N(CCCO)CC2)C(=C1)C(N)=O)NCCOC1=CC=CC=C1OCC(F)(F)F |r,c:15,27,29,t:3,5,25|",3.1664365149489315,0.05564993615086704,0.6035885993550918
9,Amphotericin B ,"[H][C@]12C[C@@H](O[C@]3([H])O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2 |r,t:17,19,21,23,25,27,29|",10.656135023597612,0.7858310600555192,0.5685131287217331
10,Betamethasone valerate (Betnovate),"[H][C@@]12C[C@H](C)[C@](OC(=O)CCCC)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C |r,c:34,t:30|",3.045630368480472,0.2748799210669313,0.6495970357125289
11,Rizatriptan Benzoate ,"OC(=O)C1=CC=CC=C1.CN(C)CCC1=CNC2=C1C=C(CN1C=NC=N1)C=C2 |c:5,7,17,24,26,29,t:3,14,20|",13.746779301980899,0.04024395482695633,0.5258531159015938
12,Flurbiprofen (Ansaid),"C[C@H](C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1 |r,c:8,10,15,17,t:5,13|",15.270271501488377,0.10760343089006386,0.7169923671919509
13,Pyridostigmine Bromide (Mestinon),"[Br-].CN(C)C(=O)OC1=C[N+](C)=CC=C1 |c:9,11,t:6|",3.809223607337637,0.06155143971622729,0.5208088836818779
14,"Orlistat (Alli, Xenical)",CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O |r|,4.826367667072635,0.04739074055826537,0.554766306823101
15,Flucytosine (Ancobon),"NC1=NC(=O)NC=C1F |c:6,t:1|",26961123.145127643,1082.6317552312673,0.06738657362670031
16,Prednisone (Adasone),"[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C |r,c:27,t:23|",2.8464500983197616,0.056458347696797466,0.5057307988840211
17,"Mesna (Uromitexan, Mesnex)",[Na+].[O-]S(=O)(=O)CCS,2.511536300298213,0.05027357786386361,0.1834823856814044
18,"Terbinafine (Lamisil, Terbinex)","CN(C\C=C\C#CC(C)(C)C)CC1=CC=CC2=CC=CC=C12 |c:14,18,t:12,16,20|",5.7384422742813666,0.516396455675788,0.8159260519261853
19,Pyrazinamide (Pyrazinoic acid amide),"NC(=O)C1=NC=CN=C1 |c:5,7,t:3|",1.6855034243550258,0.026465719852330087,0.09816014411246965
20,Pranlukast,"O=C(NC1=CC2=C(C=C1)C(=O)C=C(O2)C1=NN=NN1)C1=CC=C(OCCCCC2=CC=CC=C2)C=C1 |c:5,7,12,18,33,35,38,t:3,16,22,24,31|",5.262499198452113,0.0930803647362681,0.46146743368716314
21,Guaifenesin (Guaiphenesin),"COC1=C(OCC(O)CO)C=CC=C1 |c:2,10,12|",19065.513295715857,3.550973141165437e-10,-1.3598011605608917e-12
22,Metronidazole (Flagyl),"CC1=NC=C(N1CCO)[N+]([O-])=O |c:3,t:1|",2.9605243396310583,0.13782705680998647,0.6042052165789756
23,Potassium iodide,[K+].[I-],13.452424293961574,0.04625709398126927,0.2917984807465901
