,Item Name,CatalogNumber,SMILES,Rack Number,Plate Location
0,Axitinib,S1005,"CNC(=O)C1=CC=CC=C1SC1=CC2=C(C=C1)C(\C=C\C1=CC=CC=N1)=NN2 |c:6,8,14,16,24,26,28,t:4,12,22|",L1300-01,a1
1,Afatinib (BIBW2992),S1011,"CN(C)C\C=C\C(=O)NC1=CC2=C(NC3=CC=C(F)C(Cl)=C3)N=CN=C2C=C1O[C@H]1CCOC1 |r,c:11,20,23,25,28,t:9,14,16|",L1300-01,b1
2,Bortezomib (Velcade),S1013,"CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=NC=CN=C1)B(O)O |r,c:12,14,22,24,t:10,20|",L1300-01,c1
3,Bosutinib (SKI-606),S1014,"COC1=C(Cl)C=C(Cl)C(NC2=C(C=NC3=CC(OCCCN4CCN(C)CC4)=C(OC)C=C23)C#N)=C1 |c:2,12,37,t:5,10,14,28,32|",L1300-01,d1
4,Dasatinib (BMS-354825),S1021,"CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(Cl)C=CC=C2C)=CC(=N1)N1CCN(CCO)CC1 |c:7,14,17,19,22,24,t:1,5|",L1300-01,e1
5,Erlotinib HCl,S1023,"Cl.COCCOC1=C(OCCOC)C=C2C(NC3=CC=CC(=C3)C#C)=NC=NC2=C1 |c:5,18,20,24,26,29,t:12,16|",L1300-01,f1
6,Gefitinib (Iressa),S1025,"COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC=C(F)C(Cl)=C3)=NC=NC2=C1 |c:2,25,27,29,32,t:15,19,21|",L1300-01,g1
7,Imatinib Mesylate,S1026,"CS(O)(=O)=O.CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC=C(C)C(NC3=NC=CC(=N3)C3=CC=CN=C3)=C2)CC1 |c:12,14,29,31,36,38,40,t:10,20,22,27,34|",L1300-01,h1
8,Lapatinib Ditosylate (Tykerb),S1028,"CC1=CC=C(C=C1)S(O)(=O)=O.CC1=CC=C(C=C1)S(O)(=O)=O.CS(=O)(=O)CCNCC1=CC=C(O1)C1=CC=C2N=CN=C(NC3=CC=C(OCC4=CC=CC(F)=C4)C(Cl)=C3)C2=C1 |c:3,5,14,16,32,40,53,56,60,64,t:1,12,30,36,38,42,45,47,51|",L1300-01,a2
9,Lenalidomide,S1029,"NC1=C2CN(C3CCC(=O)NC3=O)C(=O)C2=CC=C1 |c:1,17,19|",L1300-01,b2
10,Nilotinib (AMN-107),S1033,"CC1=CN(C=N1)C1=CC(NC(=O)C2=CC=C(C)C(NC3=NC=CC(=N3)C3=CN=CC=C3)=C2)=CC(=C1)C(F)(F)F |c:4,22,24,29,31,33,35,37,t:1,7,13,15,20,27|",L1300-01,c2
11,Pazopanib HCl,S1035,"Cl.CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=NC(NC2=CC=C(C)C(=C2)S(N)(=O)=O)=NC=C1 |c:9,12,24,30,32,t:2,4,15,19,21|",L1300-01,d2
12,Rapamycin (Sirolimus),S1039,"CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1O |r,c:14,33,t:29,31|",L1300-01,e2
13,Sorafenib (Nexavar),S1040,"CC1=CC=C(C=C1)S(O)(=O)=O.CNC(=O)C1=CC(OC2=CC=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1 |c:3,5,32,39,41,43,t:1,15,19,21,27,29|",L1300-01,f2
14,Sunitinib Malate (Sutent),S1042,"O[C@@H](CC(O)=O)C(O)=O.CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=CC=C(F)C=C23)=C1C |r,c:18,36,t:28,30,33|",L1300-01,g2
15,Temsirolimus (Torisel),S1044,"CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1OC(=O)C(C)(CO)CO |r,c:14,33,t:29,31|",L1300-01,h2
16,Vandetanib (Zactima),S1046,"COC1=CC2=C(C=C1OCC1CCN(C)CC1)N=CN=C2NC1=C(F)C=C(Br)C=C1 |c:4,6,19,21,25,31,t:2,28|",L1300-01,a3
17,Vorinostat (SAHA),S1047,"ONC(=O)CCCCCCC(=O)NC1=CC=CC=C1 |c:15,17,t:13|",L1300-01,b3
18,Masitinib (AB1010),S1064,"CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC(=CS3)C3=CC=CN=C3)=C(C)C=C2)CC1 |c:8,10,22,28,30,35,t:6,16,20,26,32|",L1300-01,c3
19,Crizotinib (PF-02341066),S1068,"C[C@@H](OC1=C(N)N=CC(=C1)C1=CN(N=C1)C1CCNCC1)C1=C(Cl)C=CC(F)=C1Cl |r,c:3,6,8,14,24,27,30,t:11|",L1300-01,d3
20,Vismodegib (GDC-0449),S1082,"CS(=O)(=O)C1=CC=C(C(=O)NC2=CC(=C(Cl)C=C2)C2=NC=CC=C2)C(Cl)=C1 |c:16,21,23,27,t:4,6,11,13,19|",L1300-01,e3
21,XL-184 (Cabozantinib),S1119,"COC1=CC2=C(C=C1OC)C(OC1=CC=C(NC(=O)C3(CC3)C(=O)NC3=CC=C(F)C=C3)C=C1)=CC=N2 |c:4,6,32,35,37,39,t:2,13,15,27,29|",L1300-01,f3
22,Everolimus (RAD001),S1120,"CO[C@@H]1C[C@H](C[C@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1OCCO |r,c:14,33,t:29,31|",L1300-01,g3
23,Malotilate,S1137,CC(C)OC(=O)C(C(=O)OC(C)C)=C1SC=CS1 |c:15|,L1300-01,h3
24,Ivacaftor (VX-770),S1144,"CC(C)(C)C1=CC(=C(NC(=O)C2=CNC3=C(C=CC=C3)C2=O)C=C1O)C(C)(C)C |c:16,18,24,t:4,6,11,14|",L1300-01,a4
25,Docetaxel (Taxotere),S1148,"CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)C2[C@H](OC(=O)C2=CC=CC=C2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C3=CC=CC=C3)C(C)=C([C@@H](O)C1=O)C2(C)C |r,c:22,24,47,49,t:20,45,53|",L1300-01,b4
26,Paclitaxel (Taxol),S1150,"CC(=O)O[C@@H]1C2=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)C3=CC=CC=C3)C3[C@@]4(CO[C@@H]4C[C@H](O)[C@@]3(C)C1=O)OC(C)=O)C2(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)C1=CC=CC=C1)C1=CC=CC=C1 |r,c:5,18,20,57,59,64,66,t:16,55,62|",L1300-01,c4
27,Capecitabine (Xeloda),S1156,"CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@@H]1O[C@H](C)[C@@H](O)[C@H]1O |r,c:14,t:9|",L1300-01,d4
28,Cisplatin,S1166,N[Pt](N)(Cl)Cl,L1300-01,e4
29,Valproic acid sodium salt (Sodium valproate),S1168,[Na+].CCCC(CCC)C([O-])=O,L1300-01,f4
30,Regorafenib (BAY 73-4506),S1178,"CNC(=O)C1=CC(OC2=CC(F)=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1 |c:22,29,31,33,t:4,8,11,17,19|",L1300-01,g4
31,Ritonavir,S1185,"CC(C)[C@H](NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)OCC1=CN=CS1)CC1=CC=CC=C1 |r,c:13,30,32,42,49,51,t:10,28,40,47|",L1300-01,h4
32,Anastrozole,S1188,"CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N |c:7,12,14,16,t:5|",L1300-01,a5
33,Aprepitant (MK-0869),S1189,"C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F |r,c:23,28,30,t:9,18,20,26|",L1300-01,b5
34,Bicalutamide (Casodex),S1190,"CC(O)(CS(=O)(=O)C1=CC=C(F)C=C1)C(=O)NC1=CC=C(C#N)C(=C1)C(F)(F)F |c:12,24,t:7,9,18,20|",L1300-01,c5
35,Fulvestrant (Faslodex),S1191,"[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(C[C@@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)[C@@]21[H])C=C(O)C=C3 |r,c:13,45,t:42|",L1300-01,d5
36,Thalidomide,S1193,"O=C1N(C2CCC(=O)NC2=O)C(=O)C2=C1C=CC=C2 |c:14,17,19|",L1300-01,e5
37,Exemestane,S1196,"[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC(=C)C2=CC(=O)C=C[C@]12C |r,c:23,t:19|",L1300-01,f5
38,Finasteride,S1197,"[H][C@@]12CC[C@H](C(=O)NC(C)(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])NC(=O)C=C[C@]12C |r,c:29|",L1300-01,g5
39,Irinotecan,S1198,"CCC1=C2C=C(OC(=O)N3CCC(CC3)N3CCCCC3)C=CC2=NC2=C1CN1C2=CC2=C(COC(=O)[C@]2(O)CC)C1=O |r,c:2,23,26,28,t:4,34,36|",L1300-01,h5
40,Cladribine,S1199,"NC1=NC(Cl)=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](CO)O1 |r,c:4,6,9,t:1|",L1300-01,a6
