,name,smiles,km,vmax,c,rsq
0,Altretamine (Hexalen),"CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C |c:5,7,t:3|",6238707.060411895,611.6987907332234,0.011932036139370954,0.17968853917746197
1,Valproic acid sodium salt (Sodium valproate),[Na+].CCCC(CCC)C([O-])=O,562.0862682514745,0.0291561437290616,0.016163432908490163,0.0755747998451004
2,Malotilate,CC(C)OC(=O)C(C(=O)OC(C)C)=C1SC=CS1 |c:15|,4.775660169823975,0.5089241877558975,7.356430454861974e-15,0.7568691535600423
3,Methazolastone,"CN1N=NC2=C(N=CN2C1=O)C(N)=O |c:2,6,t:4|",41.1484106760734,0.08641929560130174,3.1036422211546885e-15,0.6560579512368674
4,Mercaptopurine,"S=C1N=CNC2=C1NC=N2 |c:2,5,9|",22.209249978754933,0.04732558421650764,0.036663811977382714,0.16369980936330641
5,Levetiracetam,CC[C@H](N1CCCC1=O)C(N)=O |r|,2.093623787451546,0.022754400386293557,1.7657896076242995e-32,0.10742770014392677
6,Acitretin,"COC1=CC(C)=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)=C1C |c:21,t:2,5|",2.5199067894875156,68.23711261920275,3.500152816570601e-19,0.5575562310431806
7,Tianeptine sodium,"[Na+].CN1C2=C(C=CC=C2)C(NCCCCCCC([O-])=O)C2=CC=C(Cl)C=C2S1(=O)=O |c:4,6,25,t:2,20,22|",6.725240297100202,0.040900588054380606,2.7676555906986976e-20,0.533834302783118
8,Silodosin (Rapaflo),"C[C@H](CC1=CC2=C(N(CCCO)CC2)C(=C1)C(N)=O)NCCOC1=CC=CC=C1OCC(F)(F)F |r,c:15,27,29,t:3,5,25|",4.0761925641872505,0.05810517512043492,3.3849824521380665e-21,0.6737307860086934
9,Amphotericin B ,"[H][C@]12C[C@@H](O[C@]3([H])O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2 |r,t:17,19,21,23,25,27,29|",10.538485698544193,0.7801720403476249,1.7392199488512835e-16,0.5714680509302114
10,Betamethasone valerate (Betnovate),"[H][C@@]12C[C@H](C)[C@](OC(=O)CCCC)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C |r,c:34,t:30|",2.9865761751606383,0.268046745615763,2.0670261726137948e-23,0.6399973351541913
