,name,smiles,km,vmax,c,rsq
0,Altretamine (Hexalen),"CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C |c:5,7,t:3|",6238707.060411895,611.6987907332234,0.011932036139370954,0.17968853917746197
1,Valproic acid sodium salt (Sodium valproate),[Na+].CCCC(CCC)C([O-])=O,562.0862682514745,0.0291561437290616,0.016163432908490163,0.0755747998451004
2,Malotilate,CC(C)OC(=O)C(C(=O)OC(C)C)=C1SC=CS1 |c:15|,4.775660169823975,0.5089241877558975,7.356430454861974e-15,0.7568691535600423
3,Methazolastone,"CN1N=NC2=C(N=CN2C1=O)C(N)=O |c:2,6,t:4|",41.1484106760734,0.08641929560130174,3.1036422211546885e-15,0.6560579512368674
4,Mercaptopurine,"S=C1N=CNC2=C1NC=N2 |c:2,5,9|",22.209249978754933,0.04732558421650764,0.036663811977382714,0.16369980936330641
5,Levetiracetam,CC[C@H](N1CCCC1=O)C(N)=O |r|,2.093623787451546,0.022754400386293557,1.7657896076242995e-32,0.10742770014392677
6,Acitretin,"COC1=CC(C)=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)=C1C |c:21,t:2,5|",2.5199067894875156,68.23711261920275,3.500152816570601e-19,0.5575562310431806
7,Tianeptine sodium,"[Na+].CN1C2=C(C=CC=C2)C(NCCCCCCC([O-])=O)C2=CC=C(Cl)C=C2S1(=O)=O |c:4,6,25,t:2,20,22|",6.725240297100202,0.040900588054380606,2.7676555906986976e-20,0.533834302783118
8,Silodosin (Rapaflo),"C[C@H](CC1=CC2=C(N(CCCO)CC2)C(=C1)C(N)=O)NCCOC1=CC=CC=C1OCC(F)(F)F |r,c:15,27,29,t:3,5,25|",4.0761925641872505,0.05810517512043492,3.3849824521380665e-21,0.6737307860086934
9,Amphotericin B ,"[H][C@]12C[C@@H](O[C@]3([H])O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2 |r,t:17,19,21,23,25,27,29|",10.538485698544193,0.7801720403476249,1.7392199488512835e-16,0.5714680509302114
10,Betamethasone valerate (Betnovate),"[H][C@@]12C[C@H](C)[C@](OC(=O)CCCC)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C |r,c:34,t:30|",2.9865761751606383,0.268046745615763,2.0670261726137948e-23,0.6399973351541913
11,Rizatriptan Benzoate ,"OC(=O)C1=CC=CC=C1.CN(C)CCC1=CNC2=C1C=C(CN1C=NC=N1)C=C2 |c:5,7,17,24,26,29,t:3,14,20|",19.238528223125254,0.04291961176891223,2.0335044168013603e-20,0.6323402086756624
12,Flurbiprofen (Ansaid),"C[C@H](C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1 |r,c:8,10,15,17,t:5,13|",17.631570047176556,0.11001307207513573,1.2964195806522556e-26,0.7490894004140851
13,Pyridostigmine Bromide (Mestinon),"[Br-].CN(C)C(=O)OC1=C[N+](C)=CC=C1 |c:9,11,t:6|",5.121848225331644,0.04999677984689019,4.02186505284293e-16,0.5566243113869891
14,"Orlistat (Alli, Xenical)",CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O |r|,4.424411757563769,0.04510278238072793,4.814478957014661e-26,0.5226876605101367
15,Flucytosine (Ancobon),"NC1=NC(=O)NC=C1F |c:6,t:1|",16935729.36886574,30.24798701281972,0.0236281433266147,0.0001609679856863222
16,Prednisone (Adasone),"[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C |r,c:27,t:23|",1.8301391208614857,0.04585132415518463,4.718703879923472e-28,0.3178351857593824
17,"Mesna (Uromitexan, Mesnex)",[Na+].[O-]S(=O)(=O)CCS,2.548509832873235,0.049279658299924554,4.288847528966327e-25,0.16506960056382525
18,"Terbinafine (Lamisil, Terbinex)","CN(C\C=C\C#CC(C)(C)C)CC1=CC=CC2=CC=CC=C12 |c:14,18,t:12,16,20|",5.729158512427319,0.5202030641557163,2.5086072940909993e-24,0.821311930085987
19,Pyrazinamide (Pyrazinoic acid amide),"NC(=O)C1=NC=CN=C1 |c:5,7,t:3|",57.294598150161676,0.01077710517718744,0.01666032869771027,0.04537738826486748
20,Pranlukast,"O=C(NC1=CC2=C(C=C1)C(=O)C=C(O2)C1=NN=NN1)C1=CC=C(OCCCCC2=CC=CC=C2)C=C1 |c:5,7,12,18,33,35,38,t:3,16,22,24,31|",12.244657223861491,0.08485782182284128,0.01736697824798546,0.4808056570662833
21,Guaifenesin (Guaiphenesin),"COC1=C(OCC(O)CO)C=CC=C1 |c:2,10,12|",8.380722192669054e-05,1.4068271753035684e-13,0.03631249559730688,-2.220446049250313e-16
22,Metronidazole (Flagyl),"CC1=NC=C(N1CCO)[N+]([O-])=O |c:3,t:1|",2.936106384512824,0.14156927329096428,1.4038675499676653e-24,0.5979554631596773
23,Potassium iodide,[K+].[I-],4.858720259632285,0.04626683573715744,1.0437185599829659e-17,0.2713745820241362
